occupation,count,category
ACADEMIC DEAN,1,FACULTY
ADJ. ASSOC.PROFESSOR,1,FACULTY
ADJUNCT,1,FACULTY
ADJUNCT ASSISTANT PROFESSOR,1,FACULTY
ADJUNCT ASSISTANT PROFESSOR OF ART,1,FACULTY
ADJUNCT ASSOCIATE PROFESSOR,1,FACULTY
ADJUNCT FACULTY,2,FACULTY
ADJUNCT PROF,1,FACULTY
ADJUNCT PROF.,1,FACULTY
ADJUNCT PROFESSOR,20,FACULTY
ADMINISTRATOR/PROFESSOR,1,FACULTY
ADVISING DEAN,2,FACULTY
ARCHITECT & PROFESSOR,1,FACULTY
ASSISTANT ADJUNCT PROFESSOR,1,FACULTY
ASSISTANT PROFESSOR,17,FACULTY
ASSISTANT PROFESSOR OF PUBLIC HEALTH,1,FACULTY
ASSISTANT PROFESSOR PSYCHIATRY,1,FACULTY
ASSOCIATE DEAN,5,FACULTY
ASSOCIATE PROFESSOR,4,FACULTY
ASSOCIATE PROFESSOR OF POLITICAL SCIEN,1,FACULTY
ASST PROFESSOR,2,FACULTY
"ATTORNEY, ADJ. PROFESSOR",1,FACULTY
ATTORNEY/PROFESSOR,1,FACULTY
COLLEGE PROFESSOR,6,FACULTY
COLLEGE PROFESSOR AND SCIENTIST,1,FACULTY
DEAN,4,FACULTY
DEAN & PROFESSOR,1,FACULTY
DEAN OF STRATEGIC INITIATIVES,1,FACULTY
"DEAN, SCHOOL OF INTL AND PUBLIC AFFAIR",1,FACULTY
DEAN/PROFESSOR,1,FACULTY
ECONOMICS PROFESSOR,1,FACULTY
ENGLISH PROFESSOR,2,FACULTY
EXAM PROCTOR,3,FACULTY
FACULTY,18,FACULTY
LAW PROFESSOR,2,FACULTY
LAWYER/ACADEMIC,1,FACULTY
LECTURER (PROFESSOR),1,FACULTY
MUSIC PROFESSOR,1,FACULTY
NEUROPSYCHOLOGIST/ASSOCIATE PROFESSOR,1,FACULTY
POFESSOR,1,FACULTY
PRESIDENT,1,FACULTY
PROF,1,FACULTY
PROFESSOR,563,FACULTY
PROFESSOR AND DEA,1,FACULTY
PROFESSOR AND DEAN,2,FACULTY
PROFESSOR AND DIRECTOR,1,FACULTY
PROFESSOR AND EDUCATIONAL CONSULTANT,1,FACULTY
PROFESSOR AND NURSE,1,FACULTY
PROFESSOR EMERITA,2,FACULTY
PROFESSOR HEALTH CARE,1,FACULTY
PROFESSOR OF ANESTHESIOLOGY,1,FACULTY
PROFESSOR OF ANTHROPOLOGY,1,FACULTY
PROFESSOR OF BIOCHEMISTRY,1,FACULTY
PROFESSOR OF HISTORY,1,FACULTY
PROFESSOR OF MEDICINE,3,FACULTY
PROFESSOR OF MICROBIOLOGY,1,FACULTY
PROFESSOR OF PHYSICS,1,FACULTY
PROFESSOR OF PSYCHIATRY,1,FACULTY
"PROFESSOR, PART TIME",1,FACULTY
"PROFESSOR, PROVOST",1,FACULTY
"PROFESSOR, PSYCHOLOGIST",1,FACULTY
"PROFESSOR, SCHOLAR",1,FACULTY
PROFESSOR/ARTIST,2,FACULTY
PROFESSOR/ATTORNEY,1,FACULTY
PROFESSSOR,1,FACULTY
PROFFESSOR,1,FACULTY
PSYCHOLOGY PROFESSOR,1,FACULTY
RESEARCH FACULTY,2,FACULTY
